timestamp,price,regime,regime_confidence,strategy,strategy_confidence,signal,causal_sentiment,position,portfolio_value
2025-09-12 08:00:00,114913.45,Alta Volatilidad/Pánico,0.0,mean_reversion,0.66315407,0.0,-0.3,,494.02542397999997
2025-09-12 12:00:00,115121.18,Tendencia Alcista,0.0,momentum,0.61582136,1.0,-0.3,long,494.02542397999997
2025-09-12 16:00:00,116632.51,Lateral/Consolidación,0.0,momentum,0.7893778,1.0,-0.3,long,495.4216328
2025-09-12 20:00:00,116029.42,Tendencia Alcista,0.0,momentum,0.6099089,1.0,-0.3,long,494.8185428
2025-09-13 00:00:00,115957.0,Lateral/Consolidación,0.0,momentum,0.54408485,1.0,-0.3,long,494.74612279999997
2025-09-13 04:00:00,115778.71,Alta Volatilidad/Pánico,0.0,momentum,0.66688365,1.0,-0.3,long,494.56783279999996
2025-09-13 08:00:00,115974.11,Tendencia Alcista,0.0,mean_reversion,0.7646409,0.0,-0.3,long,494.76323279999997
2025-09-13 12:00:00,115768.68,Tendencia Alcista,0.0,momentum,0.57515526,1.0,-0.3,long,494.5578028
2025-09-13 16:00:00,115797.12,Tendencia Bajista,0.0,mean_reversion,0.711941,0.0,0.0,long,494.5862428
2025-09-13 20:00:00,115918.29,Tendencia Bajista,0.0,mean_reversion,0.7725174,0.0,0.0,long,494.7074128
2025-09-14 00:00:00,115679.98,Lateral/Consolidación,0.0,mean_reversion,0.5531262,0.0,0.0,long,494.4691028
2025-09-14 04:00:00,115805.39,Tendencia Alcista,0.0,momentum,0.6316019,1.0,0.0,long,494.59451279999996
2025-09-14 08:00:00,115794.91,Lateral/Consolidación,0.0,mean_reversion,0.57111,0.0,0.0,long,494.5840328
2025-09-14 12:00:00,115224.01,Tendencia Bajista,0.0,mean_reversion,0.7115412,0.0,0.0,long,494.0131328
2025-09-14 16:00:00,115634.99,Lateral/Consolidación,0.0,momentum,0.68746924,1.0,0.0,long,494.4241128
2025-09-14 20:00:00,115268.01,Tendencia Bajista,0.0,momentum,0.7585003,1.0,0.0,long,494.0571328
2025-09-15 00:00:00,115445.45,Lateral/Consolidación,0.0,mean_reversion,0.72469527,0.0,0.2,long,494.23457279999997
2025-09-15 04:00:00,115806.62,Tendencia Alcista,0.0,mean_reversion,0.5214831,0.0,0.2,long,494.5957428
