2025-10-18 12:45:54,813 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,816 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,919 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,921 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,924 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:54,928 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,032 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,036 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,037 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,041 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,145 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,148 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,151 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,153 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,256 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,260 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,264 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,267 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,370 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,373 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,376 - ERROR - Error processing ADAUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,379 - ERROR - Error processing DOTUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,484 - ERROR - Error processing BTCUSDT: operands could not be broadcast together with shapes (19,) (20,) 
2025-10-18 12:45:55,488 - ERROR - Error processing ETHUSDT: operands could not be broadcast together with shapes (19,) (20,) 
